,predict_share
Giannis Antetokounmpo,0.8592004122774355
James Harden,0.5437341748475277
LeBron James,0.3803859762239997
Anthony Davis,0.2983609805880959
Nikola Jokic,0.261210881050243
Luka Doncic,0.25354742372357725
Kawhi Leonard,0.23244047830418035
Rudy Gobert,0.09434911852696448
Trae Young,0.08366746991842905
Jayson Tatum,0.06057891908539517
Khris Middleton,0.048694103032325436
Ben Simmons,0.04722526288098022
Joel Embiid,0.03669412114489004
Devin Booker,0.026105027897298044
Bam Adebayo,0.01831714097171322
Kemba Walker,0.012359223026292054
Russell Westbrook,0.01031793584408261
Donovan Mitchell,0.005024564360600364
Brandon Ingram,-0.00010951445218557176
Pascal Siakam,-0.010380419127271473
Domantas Sabonis,-0.01122236576828542
Kyle Lowry,-0.036636020289108034
Chris Paul,-0.056226619836187125
Jimmy Butler,-0.06109018996361468
