,model,param,acc,top,mvp
0,LogisticIT,{'alpha': 0.01},0.6530630410779152,0.9052631578947368,0.9736842105263158
1,LogisticIT,{'alpha': 0.1},0.6550719970342396,0.9052631578947368,0.9736842105263158
2,LogisticIT,{'alpha': 1},0.6587448592597334,0.9052631578947367,0.9736842105263158
3,LogisticIT,{'alpha': 10},0.6542635472841422,0.9,0.9473684210526315
4,LogisticAT,{'alpha': 0.01},0.6519665498498451,0.8894736842105262,0.9736842105263158
5,LogisticAT,{'alpha': 0.1},0.6486294026339793,0.8842105263157893,1.0
6,LogisticAT,{'alpha': 1},0.6496415483829672,0.8894736842105262,1.0
7,LogisticAT,{'alpha': 10},0.6507703776010412,0.9052631578947368,1.0
8,OrdinalRidge,{'alpha': 0.01},0.5014538760248143,0.7578947368421054,0.8157894736842105
9,OrdinalRidge,{'alpha': 0.1},0.4947752476356595,0.7526315789473684,0.8157894736842105
10,OrdinalRidge,{'alpha': 1},0.4872318280499058,0.7473684210526317,0.8421052631578947
11,OrdinalRidge,{'alpha': 10},0.4743576408336132,0.7421052631578948,0.8947368421052632
12,LAD,"{'C': 0.01, 'random_state': 221}",0.3020691646263729,0.16315789473684214,0.18421052631578946
13,LAD,"{'C': 0.1, 'random_state': 221}",0.3020691646263729,0.16315789473684214,0.18421052631578946
14,LAD,"{'C': 1, 'random_state': 221}",0.3020691646263729,0.16315789473684214,0.18421052631578946
15,LAD,"{'C': 10, 'random_state': 221}",0.3020691646263729,0.16315789473684214,0.18421052631578946
