Player Name,Nickname 1,Nickname 2,Nickname 3,Nickname 4,Nickname 5,Nickname 6
James Harden,JamesHarden,JHarden13,Harden,Beard,,
LeBron James,LeBronJames,KingJames,LeBron,LBJ,King James,chosen one
Giannis Antetokounmpo,GiannisAntetokounmpo,Giannis_An34,Giannis,Greek Freak,GreekFreak,
Anthony Davis,AnthonyDavis,AntDavis23,AD,The Brow,Davis,
Luka Doncic,LukaDoncic,luka7doncic,Luka,Doncic,,
Trae Young,TraeYoung,TheTraeYoung,Trae,,,
Nikola Jokic,NikolaJokic,Jokic,Big Honey,The Joker,BigHoney,
Russell Westbrook,RussellWestbrook,russwest44,Russ,Westbrook,Brodie,Beastbrook
Kawhi Leonard,KawhiLeonard,kawhileonard,Kawhi,Claw,,
Chris Paul,ChrisPaul,CP3,CP3,,,
Devin Booker,DevinBooker,DevinBook,Booker,Devinbook,,
Khris Middleton,KhrisMiddleton,Khris22m,Khris,Middleton,Khash,
Bam Adebayo,BamAdebayo,Bam1of1,Adebayo,Bam,,
Jayson Tatum,JaysonTatum,jaytatum0,Tatum,,,
Kemba Walker,KembaWalker,KembaWalker,Kemba,Cardiac,,
Jimmy Butler,JimmyButler,JimmyButler,Butler,Jimmy,Jimmy Bucket,JimmyBucket
Ben Simmons,BenSimmons,BenSimmons25,Simmons,Simmo,,
Joel Embiid,JoelEmbiid,JoelEmbiid,Embiid,The Process,,
Domantas Sabonis,DomantasSabonis,Dsabonis11,Sabonis,Domas,,
Brandon Ingram,BrandonIngram,B_Ingram13,Ingram,,,
Pascal Siakam,PascalSiakam,pskills43,Siakam,Spicy P,,
Rudy Gobert,RudyGobert,rudygobert27,Rudy,Gobert,Stifle Tower,StifleTower
Donovan Mitchell,DonovanMitchell,spidadmitchell,Donovan,Mitchell,Don,Spida
Kyle Lowry,KyleLowry,Klow7,Lowry,Klow,,
Damian Lillard,DamianLillard,Dame_Lillard,Dame,Lillard,,
DeMar DeRozan,DeMarDeRozan,DeMar_DeRozan,DeRozan,Demar,Deebo,
Isaiah Thomas,IsaiahThomas,isaiahthomas,Isaiah,Zeke,,
John Wall,JohnWall,JohnWall,J-Wall,,,
LaMarcus Aldridge,LaMarcusAldridge,aldridge_12,LaMarcus,Aldridge,,
Paul George,PaulGeorge,Yg_Trece,PG,Young Trece,yg_trece,YoungTrece
Stephen Curry,StephenCurry,StephenCurry30,Steph,Curry,Chef,Splansh
Victor Oladipo,VictorOladipo,VicOladipo,Oladipo,Dipo,,
